site_name,state,lat,lon,elevation_m,pct_of_median_longterm_swe,daily_swe_change_inches,HUC02,file_name,water_year,date,year,month,day
Hannagan Meadows,AZ,33.65,-109.31,2749.3,44,0,HUC15,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Adin Mtn,CA,41.24,-120.79,1886.7,111,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Blue Lakes,CA,38.61,-119.92,2458.8,84,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Cedar Pass,CA,41.58,-120.3,2142.7,94,0,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Css Lab,CA,39.33,-120.37,2101.3,107,0.3,HUC18,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Dismal Swamp,CA,41.99,-120.18,2243.3,89,0,HUC17,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Ebbetts Pass,CA,38.55,-119.8,2639.9,81,0.2,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Echo Peak,CA,38.85,-120.08,2332.6,96,0.2,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Fallen Leaf,CA,38.93,-120.05,1902.6,150,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Hagans Meadow,CA,38.85,-119.94,2359.8,112,0.2,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Heavenly Valley,CA,38.92,-119.92,2601.2,89,0.2,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Independence Camp,CA,39.45,-120.29,2127.5,103,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Independence Creek,CA,39.49,-120.28,1961.7,81,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Independence Lake,CA,39.43,-120.31,2541.4,75,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Leavitt Lake,CA,38.28,-119.61,2927.3,63,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Leavitt Meadows,CA,38.3,-119.55,2194,69,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Lobdell Lake,CA,38.44,-119.37,2819.1,42,-0.2,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Monitor Pass,CA,38.67,-119.61,2531.7,95,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Poison Flat,CA,38.51,-119.63,2357.9,83,-0.2,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Rubicon #2,CA,39,-120.13,2322.3,84,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Sonora Pass,CA,38.31,-119.6,2673.1,63,-0.2,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Spratt Creek,CA,38.67,-119.82,1848,153,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Squaw Valley G.C.,CA,39.19,-120.27,2442.4,69,0.3,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Tahoe City Cross,CA,39.17,-120.15,2071.7,53,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Truckee #2,CA,39.3,-120.18,1983.9,96,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Virginia Lakes Ridge,CA,38.07,-119.23,2865.1,61,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Ward Creek #3,CA,39.14,-120.22,2055.9,99,0,HUC16,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Apishapa,CO,37.33,-105.07,3048,90,0,HUC11,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Bear Lake,CO,40.31,-105.64,2895.6,55,0,HUC10,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Beartown,CO,37.71,-107.51,3535.7,87,0,HUC13,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Berthoud Summit,CO,39.8,-105.78,3444.2,95,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Bison Lake,CO,39.76,-107.36,3316.2,81,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Brumley,CO,39.09,-106.54,3230.9,100,0,HUC11,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
Buffalo Park,CO,40.23,-106.6,2816.4,77,0,HUC14,SnowToday_USwest_20210101_SWEsummary.txt,wy2021,2021-01-01,2021,1,1
